dataset,center,features,n_samples,perplexity,k,trustworthiness,continuity,locals_path
./test/center4/features90.csv,4,90,5000,30.0,30,0.9088732182864063,0.9196836989941803,
./test/center5/features100.csv,5,100,5000,30.0,30,0.9262838254785213,0.937876162411276,
./test/center5/features12.csv,5,12,5000,30.0,30,0.9646004507686614,0.9516142550543278,
./test/center5/features17.csv,5,17,5000,30.0,30,0.9566268133346788,0.9457858956504187,
./test/center5/features2.csv,5,2,5000,30.0,30,0.9992056944864939,0.9977581928886197,
./test/center5/features22.csv,5,22,5000,30.0,30,0.9505492824704815,0.9442989269014699,
./test/center5/features27.csv,5,27,5000,30.0,30,0.9464740000672789,0.9424558011235576,
./test/center5/features32.csv,5,32,5000,30.0,30,0.9434253910586337,0.9409216860093519,
./test/center5/features37.csv,5,37,5000,30.0,30,0.9404120065933326,0.9400758583106268,
./test/center5/features42.csv,5,42,5000,30.0,30,0.9385932438523902,0.9393030632085311,
./test/center5/features47.csv,5,47,5000,30.0,30,0.9371241807111379,0.9389162808221481,
./test/center5/features50.csv,5,50,5000,30.0,30,0.9354418084569582,0.9388403135196957,
./test/center5/features60.csv,5,60,5000,30.0,30,0.9330281858243347,0.9369164732398156,
./test/center5/features7.csv,5,7,5000,30.0,30,0.9792558980051804,0.9627489245467085,
./test/center5/features70.csv,5,70,5000,30.0,30,0.9319491815521244,0.9374708110471962,
./test/center5/features80.csv,5,80,5000,30.0,30,0.9303268933965756,0.9369873125441518,
./test/center5/features90.csv,5,90,5000,30.0,30,0.9284959599017729,0.9368483224005113,
./test/center6/features100.csv,6,100,5000,30.0,30,0.9403662313721532,0.9491417822181852,
./test/center6/features12.csv,6,12,5000,30.0,30,0.9700381081171999,0.9603085410569516,
./test/center6/features17.csv,6,17,5000,30.0,30,0.9630595768156894,0.9565887321290409,
./test/center6/features2.csv,6,2,5000,30.0,30,0.9992746553638105,0.9971072896693242,
./test/center6/features22.csv,6,22,5000,30.0,30,0.9589751888855249,0.953955691458943,
./test/center6/features27.csv,6,27,5000,30.0,30,0.9554461371816866,0.9530713317859186,
./test/center6/features32.csv,6,32,5000,30.0,30,0.9533080135903387,0.9516269963332997,
./test/center6/features37.csv,6,37,5000,30.0,30,0.9512791388300197,0.9508791657415817,
./test/center6/features42.csv,6,42,5000,30.0,30,0.9492760964779493,0.9502528368150168,
./test/center6/features47.csv,6,47,5000,30.0,30,0.9478480021529249,0.9503438597907625,
./test/center6/features50.csv,6,50,5000,30.0,30,0.9472757250983955,0.9499484872338279,
./test/center6/features60.csv,6,60,5000,30.0,30,0.9451573451744205,0.9490795653782755,
./test/center6/features7.csv,6,7,5000,30.0,30,0.9823102808894271,0.9684992673327278,
./test/center6/features70.csv,6,70,5000,30.0,30,0.9434871046523363,0.9489079651495272,
./test/center6/features80.csv,6,80,5000,30.0,30,0.9424207595788341,0.9492208120563799,
./test/center6/features90.csv,6,90,5000,30.0,30,0.941110266088068,0.9488043448716653,
