Cluster,Features,Spearman_Original,Spearman_TSNE_P5,Spearman_TSNE_P15,Spearman_TSNE_P20,Spearman_TSNE_P50,Spearman_TSNE_P90
2,2,0.9999999999999999,0.4134346927647438,0.6581203427592636,0.7019347651193557,0.9516031038313938,0.9768110369495777
2,7,1.0,0.5402772727797366,0.6468207020605394,0.679174641677199,0.7360600583053954,0.7518652025795357
2,12,1.0,0.5663010227104593,0.660732538267882,0.7186205968158302,0.7756506221834598,0.7948578932217647
2,17,1.0,0.5671472580608014,0.7036072987957812,0.715089744701428,0.790657955232947,0.7735168506921537
2,22,1.0,0.5724830430328403,0.6952081123252484,0.7322207705741098,0.7872443822328439,0.7947000759717445
2,27,1.0,0.5483159578129306,0.6863597379204311,0.7162094957664947,0.7796484513374399,0.7970895800259843
2,32,1.0,0.5928075829712149,0.7084413374929,0.7133296007751874,0.7773443317349581,0.777502608588614
2,37,1.0,0.5936651344920479,0.7057765200120372,0.7279016623125385,0.7801876546009221,0.806603808056657
2,42,1.0,0.5930042737490973,0.70177919478257,0.7198717834812949,0.7835719593847827,0.7890283575568424
2,47,1.0,0.5770425724551604,0.6867542256964894,0.7161196130953297,0.7778930488071456,0.8040623154408566
2,50,0.9999999999999999,0.5921479437143143,0.6956883173425981,0.7285672887592648,0.7909028311186961,0.8104342531292869
2,60,0.9999999999999999,0.5838200438967975,0.6897507213348589,0.7264554611298986,0.8012075541208986,0.7807825906686278
2,70,0.9999999999999999,0.5873952565991645,0.7068026671372806,0.7326553453224671,0.7877522414081923,0.8207538390182993
2,80,1.0,0.5994017544010967,0.7119050715992608,0.7351261307066845,0.7939483366641588,0.7992466005109262
2,90,0.9999999999999999,0.5978404197301054,0.6984363112700067,0.7272429390312991,0.7759302552126617,0.7993341115668847
2,100,0.9999999999999999,0.5966186187454587,0.7094804164110641,0.7351319568124626,0.7901589152562939,0.7997543755184024
